ThinkDifferent|init|PApplet|sketch|void
ThinkDifferent|cleanup|||void
ThinkDifferent|setIconImage|Image|image|void
ThinkDifferent|getTaskbar|||Taskbar
ThinkDifferent|getDesktop|||Desktop
PVector|set|float,float,float|x,y,z|PVector
PVector|set|float,float|x,y|PVector
PVector|set|PVector|v|PVector
PVector|set|float[]|source|PVector
PVector|random2D|||PVector
PVector|random2D|PApplet|parent|PVector
PVector|random2D|PVector|target|PVector
PVector|random2D|PVector,PApplet|target,parent|PVector
PVector|random3D|||PVector
PVector|random3D|PApplet|parent|PVector
PVector|random3D|PVector|target|PVector
PVector|random3D|PVector,PApplet|target,parent|PVector
PVector|fromAngle|float|angle|PVector
PVector|fromAngle|float,PVector|angle,target|PVector
PVector|copy|||PVector
PVector|get|||PVector
PVector|get|float[]|target|float[]
PVector|mag|||float
PVector|magSq|||float
PVector|add|PVector|v|PVector
PVector|add|float,float|x,y|PVector
PVector|add|float,float,float|x,y,z|PVector
PVector|add|PVector,PVector|v1,v2|PVector
PVector|add|PVector,PVector,PVector|v1,v2,target|PVector
PVector|sub|PVector|v|PVector
PVector|sub|float,float|x,y|PVector
PVector|sub|float,float,float|x,y,z|PVector
PVector|sub|PVector,PVector|v1,v2|PVector
PVector|sub|PVector,PVector,PVector|v1,v2,target|PVector
PVector|mult|float|n|PVector
PVector|mult|PVector,float|v,n|PVector
PVector|mult|PVector,float,PVector|v,n,target|PVector
PVector|div|float|n|PVector
PVector|div|PVector,float|v,n|PVector
PVector|div|PVector,float,PVector|v,n,target|PVector
PVector|dist|PVector|v|float
PVector|dist|PVector,PVector|v1,v2|float
PVector|dot|PVector|v|float
PVector|dot|float,float,float|x,y,z|float
PVector|dot|PVector,PVector|v1,v2|float
PVector|cross|PVector|v|PVector
PVector|cross|PVector,PVector|v,target|PVector
PVector|cross|PVector,PVector,PVector|v1,v2,target|PVector
PVector|normalize|||PVector
PVector|normalize|PVector|target|PVector
PVector|limit|float|max|PVector
PVector|setMag|float|len|PVector
PVector|setMag|PVector,float|target,len|PVector
PVector|heading|||float
PVector|heading2D|||float
PVector|rotate|float|theta|PVector
PVector|lerp|PVector,float|v,amt|PVector
PVector|lerp|PVector,PVector,float|v1,v2,amt|PVector
PVector|lerp|float,float,float,float|x,y,z,amt|PVector
PVector|angleBetween|PVector,PVector|v1,v2|float
PVector|toString|||String
PVector|array|||float[]
PVector|equals|Object|obj|boolean
PVector|hashCode|||int
PSurfaceNone|displayDensity|||int
PSurfaceNone|displayDensity|int|display|int
PSurfaceNone|loadImage|String,Object[]|path,args|PImage
PSurfaceNone|selectInput|String,String,File,Object|prompt,callback,file,callbackObject|void
PSurfaceNone|selectOutput|String,String,File,Object|prompt,callback,file,callbackObject|void
PSurfaceNone|selectFolder|String,String,File,Object|prompt,callback,file,callbackObject|void
PSurfaceNone|initOffscreen|PApplet|sketch|void
PSurfaceNone|initFrame|PApplet|sketch|void
PSurfaceNone|getNative|||Object
