py5_name,processing_name,decorator,type,implementation,comments
DIRECTIONAL,DIRECTIONAL,,static field,SKIP,
SPOT,SPOT,,static field,SKIP,
BACKSPACE,BACKSPACE,,static field,SKIP,
TAB,TAB,,static field,SKIP,
ENTER,ENTER,,static field,SKIP,
RETURN,RETURN,,static field,SKIP,
ESC,ESC,,static field,SKIP,
DELETE,DELETE,,static field,SKIP,
CODED,CODED,,static field,SKIP,
UP,UP,,static field,SKIP,
DOWN,DOWN,,static field,SKIP,
LEFT,LEFT,,static field,SKIP,
RIGHT,RIGHT,,static field,SKIP,
ALT,ALT,,static field,SKIP,
CONTROL,CONTROL,,static field,SKIP,
SHIFT,SHIFT,,static field,SKIP,
PORTRAIT,PORTRAIT,,static field,SKIP,
LANDSCAPE,LANDSCAPE,,static field,SKIP,
SPAN,SPAN,,static field,SKIP,
ARROW,ARROW,,static field,SKIP,
CROSS,CROSS,,static field,SKIP,
HAND,HAND,,static field,SKIP,
MOVE,MOVE,,static field,SKIP,
TEXT,TEXT,,static field,SKIP,
WAIT,WAIT,,static field,SKIP,
ENABLE_NATIVE_FONTS,ENABLE_NATIVE_FONTS,,static field,SKIP,
DISABLE_NATIVE_FONTS,DISABLE_NATIVE_FONTS,,static field,SKIP,
DISABLE_DEPTH_TEST,DISABLE_DEPTH_TEST,,static field,SKIP,
ENABLE_DEPTH_TEST,ENABLE_DEPTH_TEST,,static field,SKIP,
ENABLE_DEPTH_SORT,ENABLE_DEPTH_SORT,,static field,SKIP,
DISABLE_DEPTH_SORT,DISABLE_DEPTH_SORT,,static field,SKIP,
DISABLE_OPENGL_ERRORS,DISABLE_OPENGL_ERRORS,,static field,SKIP,
ENABLE_OPENGL_ERRORS,ENABLE_OPENGL_ERRORS,,static field,SKIP,
DISABLE_DEPTH_MASK,DISABLE_DEPTH_MASK,,static field,SKIP,
ENABLE_DEPTH_MASK,ENABLE_DEPTH_MASK,,static field,SKIP,
DISABLE_OPTIMIZED_STROKE,DISABLE_OPTIMIZED_STROKE,,static field,SKIP,
ENABLE_OPTIMIZED_STROKE,ENABLE_OPTIMIZED_STROKE,,static field,SKIP,
ENABLE_STROKE_PERSPECTIVE,ENABLE_STROKE_PERSPECTIVE,,static field,SKIP,
DISABLE_STROKE_PERSPECTIVE,DISABLE_STROKE_PERSPECTIVE,,static field,SKIP,
DISABLE_TEXTURE_MIPMAPS,DISABLE_TEXTURE_MIPMAPS,,static field,SKIP,
ENABLE_TEXTURE_MIPMAPS,ENABLE_TEXTURE_MIPMAPS,,static field,SKIP,
ENABLE_STROKE_PURE,ENABLE_STROKE_PURE,,static field,SKIP,
DISABLE_STROKE_PURE,DISABLE_STROKE_PURE,,static field,SKIP,
ENABLE_BUFFER_READING,ENABLE_BUFFER_READING,,static field,SKIP,
DISABLE_BUFFER_READING,DISABLE_BUFFER_READING,,static field,SKIP,
DISABLE_KEY_REPEAT,DISABLE_KEY_REPEAT,,static field,SKIP,
ENABLE_KEY_REPEAT,ENABLE_KEY_REPEAT,,static field,SKIP,
DISABLE_ASYNC_SAVEFRAME,DISABLE_ASYNC_SAVEFRAME,,static field,SKIP,
ENABLE_ASYNC_SAVEFRAME,ENABLE_ASYNC_SAVEFRAME,,static field,SKIP,
HINT_COUNT,HINT_COUNT,,static field,SKIP,
format,format,,dynamic variable,SKIP,
pixels,pixels,,dynamic variable,JAVA,
pixel_density,pixelDensity,,dynamic variable,JAVA,"always be 1, but this should be included because py5graphics has it and it simplifies code if both classes have it"
pixel_width,pixelWidth,,dynamic variable,JAVA,"always equal to width, but this should be included because py5graphics has it and it simplifies code if both classes have it"
pixel_height,pixelHeight,,dynamic variable,JAVA,"always equal to height, but this should be included because py5graphics has it and it simplifies code if both classes have it"
width,width,,dynamic variable,JAVA,
height,height,,dynamic variable,JAVA,
parent,parent,,dynamic variable,SKIP,
loaded,loaded,,dynamic variable,SKIP,
ALPHA_MASK,ALPHA_MASK,,static field,JAVA,
RED_MASK,RED_MASK,,static field,JAVA,
GREEN_MASK,GREEN_MASK,,static field,JAVA,
BLUE_MASK,BLUE_MASK,,static field,JAVA,
wait,wait,,method,SKIP,public methods that shouldn't be available to users
equals,equals,,method,SKIP,user should use python instead
to_string,toString,,method,SKIP,public methods that shouldn't be available to users
hash_code,hashCode,,method,SKIP,public methods that shouldn't be available to users
get_class,getClass,,method,SKIP,public methods that shouldn't be available to users
notify,notify,,method,SKIP,public methods that shouldn't be available to users
notify_all,notifyAll,,method,SKIP,public methods that shouldn't be available to users
get,get,,method,JAVA,
clone,clone,,method,SKIP,
apply_filter,filter,,method,JAVA,filter method has name conflict with python builtin function; replaced with apply_filter method
set,set,,method,SKIP,conflict with builtin python function
init,init,,method,SKIP,
save,save,,method,PYTHON,implemented in pixels.py mixin
copy,copy,,method,JAVA,
mask,mask,,method,JAVA,
resize,resize,,method,SKIP,
get_image,getImage,,method,SKIP,
get_native,getNative,,method,SKIP,
native,native,,unknown,SKIP,
is_modified,isModified,,method,SKIP,
modified,modified,,unknown,SKIP,
set_modified,setModified,,method,SKIP,
get_modified_x1,getModifiedX1,,method,SKIP,
modified_x1,modifiedX1,,unknown,SKIP,
get_modified_x2,getModifiedX2,,method,SKIP,
modified_x2,modifiedX2,,unknown,SKIP,
get_modified_y1,getModifiedY1,,method,SKIP,
modified_y1,modifiedY1,,unknown,SKIP,
get_modified_y2,getModifiedY2,,method,SKIP,
modified_y2,modifiedY2,,unknown,SKIP,
load_pixels,loadPixels,,method,JAVA,
update_pixels,updatePixels,,method,JAVA,
set_loaded,setLoaded,,method,SKIP,
check_alpha,checkAlpha,,method,SKIP,made public in Processing 4a2 but actually useful
blend_color,blendColor,,static method,SKIP,methods that are not part of the processing framework
blend,blend,,method,JAVA,
load_tiff,loadTIFF,,static method,SKIP,
load_tga,loadTGA,,static method,SKIP,
is_loaded,isLoaded,,method,SKIP,
load_np_pixels,,,method,PYTHON,like loadPixels but for np_pixels; implemented in pixels.py mixin
update_np_pixels,,,method,PYTHON,like updatePixels but for np_pixels; implemented in the pixels.py mixin
set_np_pixels,,,method,PYTHON,replaces data in the np_pixels array; implemented in the pixels.py mixin
np_pixels,,,dynamic variable,PYTHON,numpy array containing pixel data
